app_id,name,release_date,price_usd,discount_pct,is_discounted,is_free,review_score_pct,total_reviews,estimated_owners,peak_24h_players,steam_official_genres,steam_tags,steam_store_features,steam_developer,steam_publisher,steam_supported_os,steam_interface_languages,steam_subtitle_languages,steam_audio_languages,steam_minimum_ram_gb,steam_minimum_storage_gb,steam_metacritic_score,steam_dlc_count,steam_age_rating_system,steam_age_rating_value
2073850,THE FINALS,2023-12-07,0.0,0,0,1,78,0,0,0,"[""Action"", ""Free To Play""]","[""Destruction"", ""Free to Play"", ""FPS"", ""Multiplayer"", ""Shooter"", ""PvP"", ""Team-Based"", ""Competitive"", ""Action"", ""First-Person"", ""Arena Shooter"", ""Tactical"", ""Character Customization"", ""Online Co-Op"", ""Combat"", ""Co-op"", ""Class-Based"", ""Atmospheric"", ""Realistic"", ""Battle Royale""]","[""Multi-player"", ""PvP"", ""Online PvP"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Full controller support"", ""In-App Purchases"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Family Sharing""]","[""Embark Studios""]","[""Embark Studios""]","[""Windows""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Traditional Chinese"", ""Polish"", ""Turkish""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Traditional Chinese"", ""Polish"", ""Turkish""]","[""English""]",12.0,,,42.0,DEJUS,14
883710,Resident Evil 2,2019-01-24,39.99,0,0,0,97,135516,4065480,1123,"[""Action""]","[""Zombies"", ""Survival Horror"", ""Horror"", ""Singleplayer"", ""Remake"", ""Third Person"", ""Gore"", ""Action"", ""Puzzle"", ""Atmospheric"", ""Story Rich"", ""Multiplayer"", ""Violent"", ""Survival"", ""Classic"", ""Female Protagonist"", ""Dark"", ""Shooter"", ""Adventure"", ""Difficult""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""Steam Cloud"", ""Remote Play on Tablet"", ""Remote Play on TV"", ""HDR available"", ""Family Sharing""]","[""CAPCOM Co., Ltd.""]","[""CAPCOM Co., Ltd.""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean"", ""Portuguese - Brazil"", ""Arabic"", ""Thai"", ""Spanish - Latin America""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean"", ""Portuguese - Brazil"", ""Arabic"", ""Thai"", ""Spanish - Latin America""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Simplified Chinese"", ""Japanese""]",8.0,26.0,89.0,13.0,ESRB,Mature 17+
4045750,Out of the Park Baseball 27,2026-03-13,44.99,10,1,0,60,0,0,0,"[""Indie"", ""Simulation"", ""Sports"", ""Strategy""]","[""Simulation"", ""Sports"", ""Strategy"", ""Sandbox"", ""Baseball"", ""Trading Card Game"", ""Management"", ""2D"", ""3D"", ""Historical"", ""Indie"", ""PvP"", ""Choices Matter"", ""Resource Management"", ""Trading"", ""Multiplayer"", ""Singleplayer"", ""Competitive"", ""Family Friendly""]","[""Single-player"", ""Multi-player"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Steam Trading Cards"", ""Steam Workshop"", ""In-App Purchases"", ""Family Sharing""]","[""Out of the Park Developments""]","[""Out of the Park Developments""]","[""Windows"", ""Mac""]","[""English"", ""Korean""]",[],"[""English"", ""Korean""]",2.0,3.0,,0.0,DEJUS,18
266410,iRacing,2015-01-12,9.99,0,0,0,80,4973,149190,354,"[""Massively Multiplayer"", ""Racing"", ""Simulation"", ""Sports""]","[""Racing"", ""Automobile Sim"", ""Simulation"", ""VR"", ""Driving"", ""Sports"", ""Multiplayer"", ""Realistic"", ""Massively Multiplayer"", ""Singleplayer"", ""Controller"", ""eSports"", ""First-Person"", ""Action"", ""Split Screen"", ""Competitive"", ""TrackIR""]","[""Single-player"", ""Multi-player"", ""MMO"", ""PvP"", ""Online PvP"", ""VR Support"", ""Partial Controller Support"", ""Family Sharing""]","[""iRacing.com Motorsport Simulations"", ""iRacing""]","[""iRacing.com Motorsport Simulations"", ""iRacing""]","[""Windows""]","[""English""]","[""English""]","[""English""]",16.0,25.0,79.0,0.0,USK,16
294100,RimWorld,2018-10-17,34.99,0,0,0,97,199425,5982750,19211,"[""Indie"", ""Simulation"", ""Strategy""]","[""Colony Sim"", ""Base Building"", ""Survival"", ""Strategy"", ""Management"", ""Sandbox"", ""Singleplayer"", ""Moddable"", ""Simulation"", ""Sci-fi"", ""Story Rich"", ""Replay Value"", ""Open World"", ""2D"", ""Procedural Generation"", ""Indie"", ""City Builder"", ""Tactical RPG"", ""Building"", ""Atmospheric""]","[""Single-player"", ""Steam Workshop"", ""Partial Controller Support"", ""Steam Cloud"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Ludeon Studios""]","[""Ludeon Studios""]","[""Windows"", ""Mac"", ""Linux""]","[""English"", ""French"", ""German"", ""Polish"", ""Russian"", ""Italian"", ""Spanish - Spain"", ""Czech"", ""Danish"", ""Dutch"", ""Hungarian"", ""Japanese"", ""Norwegian"", ""Portuguese - Portugal"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Swedish"", ""Traditional Chinese"", ""Turkish"", ""Ukrainian"", ""Finnish"", ""Korean"", ""Romanian"", ""Spanish - Latin America""]",[],[],4.0,1.0,87.0,10.0,DEJUS,16
2186680,"Warhammer 40,000: Rogue Trader",2023-12-07,19.99,60,1,0,92,29298,878940,3582,"[""Action"", ""Adventure"", ""Indie"", ""RPG"", ""Strategy""]","[""RPG"", ""Choices Matter"", ""Character Customization"", ""CRPG"", ""Turn-Based Strategy"", ""Turn-Based Combat"", ""Strategy"", ""Adventure"", ""Tactical RPG"", ""Atmospheric"", ""Co-op"", ""Fantasy"", ""Dark Fantasy"", ""Action"", ""Multiplayer"", ""Story Rich"", ""Sci-fi"", ""Singleplayer"", ""Space"", ""Romance""]","[""Single-player"", ""Multi-player"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Steam Trading Cards"", ""Steam Workshop"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Partial Controller Support"", ""Steam Cloud"", ""Family Sharing""]","[""Owlcat Games""]","[""Owlcat Games""]","[""Windows"", ""Mac""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Russian"", ""Simplified Chinese"", ""Japanese"", ""Turkish""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Russian"", ""Simplified Chinese"", ""Japanese"", ""Turkish""]","[""English""]",8.0,40.0,,9.0,DEJUS,14
3014320,OCTOPATH TRAVELER 0,2025-12-04,37.49,25,1,0,84,2323,69690,0,"[""RPG""]","[""RPG"", ""JRPG"", ""Party-Based RPG"", ""Singleplayer"", ""2.5D"", ""Pixel Graphics"", ""Turn-Based"", ""Character Customization"", ""Anime"", ""Strategy"", ""Fantasy"", ""Controller"", ""Violent"", ""Dark"", ""Medieval"", ""Building"", ""Story Rich"", ""Emotional"", ""Top-Down"", ""Turn-Based Combat""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Steam Input API Support"", ""Steam Cloud"", ""Family Sharing""]","[""Square Enix"", ""DOKIDOKI GROOVE WORKS""]","[""Square Enix""]","[""Windows""]","[""English"", ""Japanese"", ""Korean"", ""Simplified Chinese"", ""Traditional Chinese""]","[""English"", ""Japanese"", ""Korean"", ""Simplified Chinese"", ""Traditional Chinese""]","[""English"", ""Japanese""]",8.0,10.0,,1.0,ESRB,Teen
2958130,Jurassic World Evolution 3,2025-10-21,59.99,0,0,0,92,7738,232140,0,"[""Simulation"", ""Strategy""]","[""Simulation"", ""Dinosaurs"", ""Strategy"", ""Sandbox"", ""City Builder"", ""Sequel"", ""Action"", ""Management"", ""Resource Management"", ""Economy"", ""Atmospheric"", ""Sci-fi"", ""Survival"", ""Base Building"", ""Singleplayer"", ""Building"", ""Open World"", ""Multiplayer"", ""Violent"", ""Artificial Intelligence""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""Steam Cloud"", ""HDR available"", ""Family Sharing""]","[""Frontier Developments""]","[""Frontier Developments""]","[""Windows""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Italian"", ""Japanese"", ""Korean"", ""Polish"", ""Traditional Chinese""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Italian"", ""Japanese"", ""Korean"", ""Polish"", ""Traditional Chinese""]","[""English"", ""French"", ""German"", ""Spanish - Spain"", ""Portuguese - Brazil"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Japanese""]",16.0,25.0,81.0,4.0,ESRB,Everyone 10+
2246340,Monster Hunter Wilds,2025-02-27,69.99,0,0,0,71,190689,5720670,12494,"[""Action"", ""Adventure"", ""RPG""]","[""Hunting"", ""Action"", ""Multiplayer"", ""Online Co-Op"", ""Co-op"", ""Character Customization"", ""Dragons"", ""Open World"", ""Third Person"", ""Dating Sim"", ""Action RPG"", ""Adventure"", ""Fantasy"", ""RPG"", ""Cute"", ""Singleplayer"", ""Atmospheric"", ""Great Soundtrack"", ""Underwater"", ""Souls-like""]","[""Single-player"", ""Multi-player"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Steam Input API Support"", ""Steam Cloud"", ""HDR available"", ""Family Sharing""]","[""CAPCOM Co., Ltd.""]","[""CAPCOM Co., Ltd.""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean"", ""Thai""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean"", ""Thai""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Japanese""]",16.0,75.0,,195.0,ESRB,Teen
2397300,Half Sword,2026-01-30,24.99,0,0,0,71,20204,606120,0,"[""Action"", ""Adventure"", ""Indie"", ""Simulation"", ""Early Access""]","[""Early Access"", ""Gore"", ""Physics"", ""Combat"", ""Medieval"", ""Swordplay"", ""Realistic"", ""Historical"", ""Simulation"", ""Fighting"", ""Action"", ""Sandbox"", ""Singleplayer"", ""Third Person"", ""Immersive"", ""Hack and Slash"", ""3D Fighter"", ""First-Person"", ""3D"", ""Multiplayer""]","[""Single-player"", ""Steam Cloud"", ""Family Sharing""]","[""Half Sword Games""]","[""Game Seer Publishing""]","[""Windows""]","[""English""]","[""English""]",[],8.0,15.0,,1.0,DEJUS,16
