name,review_score_pct,steam_official_genres
"Waterpark Simulator",96,Simulation
"Waterpark Simulator",96,"Early Access"
SpaceEngine,96,Casual
SpaceEngine,96,Indie
SpaceEngine,96,Simulation
SpaceEngine,96,"Early Access"
"From Glory To Goo",96,Simulation
"From Glory To Goo",96,Strategy
"From Glory To Goo",96,"Early Access"
"Little Nightmares",96,Adventure
Undertale,96,Indie
Undertale,96,RPG
"HalfLife Alyx",96,Action
"HalfLife Alyx",96,Adventure
"Automation  The Car Company Tycoon Game",96,Indie
"Automation  The Car Company Tycoon Game",96,Racing
"Automation  The Car Company Tycoon Game",96,Simulation
"Automation  The Car Company Tycoon Game",96,Strategy
"Automation  The Car Company Tycoon Game",96,"Early Access"
ROUNDS,96,Action
ROUNDS,96,Indie
Stray,96,Adventure
Stray,96,Indie
"PARANORMASIGHT The Seven Mysteries of Honjo",96,Adventure
"PARANORMASIGHT The Seven Mysteries of Honjo",96,RPG
"PARANORMASIGHT The Seven Mysteries of Honjo",96,Simulation
"Universe Sandbox",96,Casual
"Universe Sandbox",96,Indie
"Universe Sandbox",96,Simulation
"Universe Sandbox",96,"Early Access"
"Two Point Museum",96,Casual
"Two Point Museum",96,Indie
"Two Point Museum",96,Simulation
"Two Point Museum",96,Strategy
"Hamster Hunter",96,Action
"Hamster Hunter",96,Adventure
"Hamster Hunter",96,Casual
"Hamster Hunter",96,Indie
"Hamster Hunter",96,Simulation
"Oxygen Not Included",96,Indie
"Oxygen Not Included",96,Simulation
"Resident Evil 4 2005",96,Action
"Resident Evil 4 2005",96,Adventure
"Liftoff FPV Drone Racing",96,Indie
"Liftoff FPV Drone Racing",96,Racing
"Liftoff FPV Drone Racing",96,Simulation
"Liftoff FPV Drone Racing",96,Sports
KovaaKs,96,Action
KovaaKs,96,Indie
KovaaKs,96,Simulation
Grimshire,96,Indie
Grimshire,96,RPG
Grimshire,96,Simulation
Grimshire,96,"Early Access"
"Your Only Move Is HUSTLE",96,Action
"Your Only Move Is HUSTLE",96,Indie
"Your Only Move Is HUSTLE",96,Simulation
"Your Only Move Is HUSTLE",96,Strategy
"Door Kickers 2 Task Force North",96,Action
"Door Kickers 2 Task Force North",96,Indie
"Door Kickers 2 Task Force North",96,Simulation
"Door Kickers 2 Task Force North",96,Strategy
"Super Battle Golf",95,Casual
"Super Battle Golf",95,Indie
"Super Battle Golf",95,Sports
"Resident Evil 4",95,Action
"Resident Evil 4",95,Adventure
REPO,95,Action
REPO,95,"Early Access"
"Slay the Spire",95,Indie
"Slay the Spire",95,Strategy
"Lucid Blocks",95,Action
"Lucid Blocks",95,Adventure
"Lucid Blocks",95,Indie
"Lucid Blocks",95,RPG
"Poker Night at the Inventory",95,Casual
"Red Dead Redemption 2",95,Action
"Red Dead Redemption 2",95,Adventure
Palworld,95,Action
Palworld,95,Adventure
Palworld,95,Indie
Palworld,95,RPG
"The Elder Scrolls V Skyrim Special Edition",95,RPG
Dispatch,95,Action
Dispatch,95,Adventure
Dispatch,95,Casual
Dispatch,95,Indie
Dispatch,95,Strategy
"Tabletop Simulator",95,Casual
"Tabletop Simulator",95,Indie
"Tabletop Simulator",95,RPG
"Tabletop Simulator",95,Simulation
"Tabletop Simulator",95,Strategy
ULTRAKILL,95,Action
ULTRAKILL,95,Indie
ULTRAKILL,95,"Early Access"
"Split Fiction",95,Action
"Split Fiction",95,Adventure
"The Binding of Isaac Rebirth",95,Action
"FINAL FANTASY VI",95,RPG
"MX Bikes",95,Racing
"MX Bikes",95,Simulation
"MX Bikes",95,Sports
"MX Bikes",95,"Early Access"
"The Last of Us Part I",95,Action
"The Last of Us Part I",95,Adventure
"The Forest",95,Action
"The Forest",95,Adventure
"The Forest",95,Indie
"The Forest",95,Simulation
"Danganronpa Trigger Happy Havoc",95,Adventure
AETHUS,95,Adventure
AETHUS,95,Casual
AETHUS,95,Indie
AETHUS,95,Simulation
AETHUS,95,Strategy
"The Witcher 3 Wild Hunt",95,RPG
"Castle Crashers",95,Action
"Castle Crashers",95,Adventure
"Castle Crashers",95,Casual
"Castle Crashers",95,Indie
"Castle Crashers",95,RPG
"Town to City",95,Indie
"Town to City",95,Simulation
"Town to City",95,Strategy
Pluto,95,Indie
Pluto,95,Strategy
"Call of Duty Modern Warfare 2 2009",95,Action
"God of War",95,Action
"God of War",95,Adventure
"God of War",95,RPG
"Euro Truck Simulator 2",95,Indie
"Euro Truck Simulator 2",95,Simulation
"Vampire Survivors",95,Action
"Vampire Survivors",95,Casual
"Vampire Survivors",95,Indie
"Vampire Survivors",95,RPG
"WolfQuest Anniversary Edition",95,Action
"WolfQuest Anniversary Edition",95,RPG
"WolfQuest Anniversary Edition",95,Simulation
"Escape from Ever After",95,Adventure
"Escape from Ever After",95,Indie
"Escape from Ever After",95,RPG
"Tiny Bookshop",95,Casual
"Tiny Bookshop",95,Indie
"Tiny Bookshop",95,RPG
"Tiny Bookshop",95,Simulation
"Batman Arkham Knight",95,Action
"Batman Arkham Knight",95,Adventure
"Farming Simulator 22",95,Simulation
"War of Rights",95,Action
"War of Rights",95,Indie
"War of Rights",95,"Massively Multiplayer"
"War of Rights",95,Simulation
"War of Rights",95,Strategy
"War of Rights",95,"Early Access"
"Lobotomy Corporation  Monster Management Simulation",95,Indie
"Lobotomy Corporation  Monster Management Simulation",95,Simulation
"Left 4 Dead",95,Action
"Persona 3 Reload",95,Adventure
"Persona 3 Reload",95,RPG
"Persona 3 Reload",95,Strategy
"Brick Rigs",95,Simulation
Bladesong,95,Indie
Bladesong,95,RPG
Bladesong,95,Simulation
Bladesong,95,"Early Access"
"The Case of the Golden Idol",95,Adventure
"The Case of the Golden Idol",95,Indie
"Contraband Police",95,Action
"Contraband Police",95,Adventure
"Contraband Police",95,Simulation
"The Jackbox Party Pack 6",95,Casual
"The Jackbox Party Pack 6",95,Indie
"The Jackbox Party Pack 6",95,Strategy
Unrailed,95,Action
Unrailed,95,Casual
Unrailed,95,Indie
UNBEATABLE,95,Adventure
OMORI,95,Adventure
OMORI,95,Indie
OMORI,95,RPG
"Ultimate Chicken Horse",95,Action
"Ultimate Chicken Horse",95,Casual
"Ultimate Chicken Horse",95,Indie
Kenshi,95,Action
Kenshi,95,Indie
Kenshi,95,RPG
Kenshi,95,Simulation
Kenshi,95,Strategy
