steam_developer,avg_owners,avg_positive
DICE,4909440.0000,72.2000
"Digital Extremes",86400.0000,90.0000
"Digital Sun",57330.0000,82.0000
"Dimensional Ink Games",6450.0000,75.0000
"Dire Wolf",89625.0000,62.0000
Dogubomb,450600.0000,82.0000
"Donkey Crew",520110.0000,82.0000
"DONTNOD Entertainment Feral Interactive Mac Feral Interactive Linux",660540.0000,90.0000
"Door 407",294120.0000,87.0000
"Dotemu Guard Crush Games Supamonks",236310.0000,85.0000
"DoubleMoose Games",118830.0000,79.0000
"Dovetail Games",303375.0000,82.5000
"DRAGO entertainment",697740.0000,91.0000
"Dreamsite Games",313740.0000,50.0000
"Drive Beyond Horizons",461970.0000,71.0000
"Drydock Dreams Games",12900.0000,91.0000
"EA Canada EA Romania",1400730.0000,48.0000
"EA Redwood Shores",669000.0000,89.0000
"Eagle Dynamics SA",20820.0000,82.0000
"Edmund McMillen Tyler Glaiel",1084560.0000,91.0000
eduweb,321060.0000,95.0000
"Eek Games LLC",415320.0000,69.0000
Egosoft,696720.0000,77.0000
"Eko Software",28230.0000,88.0000
"Elder Game LLC",119430.0000,89.0000
"Electronic Arts  Tiburon",59940.0000,73.0000
Electrovore,198870.0000,77.0000
"Embark Studios",7924500.0000,79.0000
Embers,14820.0000,82.0000
Empyrean,2710530.0000,93.0000
"Endnight Games Ltd",12418740.0000,93.5000
"Eugen Systems",399720.0000,81.0000
"Evil Tortilla Games",761130.0000,80.0000
"Excellent Rectangle",95760.0000,89.0000
"EXOR Studios",610830.0000,88.0000
"Exordium Games",9840.0000,81.0000
"Expansive Worlds",4886550.0000,90.0000
"Expression Games",2889510.0000,77.0000
"Facepunch Studios",32579325.0000,90.5000
"FakeFish Undertow Games",1733760.0000,94.0000
"Fallen Tree Games Ltd",209880.0000,85.0000
"Fancy Games Blackbird Interactive",3319590.0000,89.0000
"Far From Home",222450.0000,62.0000
Fatshark,2876430.0000,75.5000
"Firaxis Games",847140.0000,67.0000
"Firaxis Games Aspyr Mac Aspyr Linux",5946930.0000,91.5000
"Firefly Studios",270270.0000,94.0000
"Fishing Planet LLC",16500.0000,86.0000
Flashbulb,849630.0000,90.0000
"Flow Fire Games",84180.0000,76.0000
"Fluppisoft GmbH",1508400.0000,95.0000
"Flying Squirrel Entertainment",107160.0000,88.0000
FoamPunch,109050.0000,92.0000
"Foxy Voxel",470040.0000,80.0000
"FRAME BREAK",108420.0000,81.0000
"Francis Coulombe",312450.0000,98.0000
"Free Lives",96990.0000,88.0000
"Free Range Games",285180.0000,72.0000
"Freehold Games",339090.0000,90.0000
"FromSoftware Inc",7994620.0000,87.8333
"Frontier Developments",1327260.0000,84.0000
"Frozen District",437790.0000,89.0000
"Full Circle",7980.0000,50.0000
"Fun Dog Studios",593700.0000,42.0000
Funcom,1894110.0000,61.0000
"Funcom Inflexion Games",2261340.0000,81.0000
"Funday Games",1334400.0000,81.0000
FuturLab,882330.0000,93.0000
"Gabe Cuzzillo Maxi Boch Bennett Foddy",54600.0000,84.0000
"Gaijin Entertainment",58830.0000,76.0000
"Galaxy Grove",148380.0000,95.0000
"Gamatron AB",218700.0000,90.0000
"Game Science",26084400.0000,89.0000
Gameloft,632220.0000,91.0000
Gamepires,2865600.0000,75.0000
"Games Incubator",26850.0000,83.0000
"Games Incubator Hypnotic Ants",100740.0000,64.0000
"Games Of Tomorrow GmbH",205890.0000,78.0000
Gamexcite,91110.0000,78.0000
"Garage Monkeys",229200.0000,85.0000
"Gearbox Software",2685105.0000,63.5000
"Gearbox Software Aspyr Mac Aspyr Linux",6427800.0000,92.0000
"Genki Co Ltd",434160.0000,88.0000
Geometa,1563330.0000,92.0000
"GetColor Games",120690.0000,98.0000
"Ghost Games",3611790.0000,84.0000
"Ghost Ship Games",8896260.0000,94.0000
"Ghost Town Games Ltd Team17",1761690.0000,91.0000
"Giant Army",786930.0000,96.0000
"GIANTS Software",1493085.0000,93.5000
GigaPuff,25650.0000,94.0000
"Gius Caminiti",31620.0000,93.0000
"GONE Studios",62940.0000,92.0000
"Grimlore Games",452820.0000,77.0000
"Grinding Gear Games",2303190.0000,17.0000
"GrizzlyGames Mythwright",652200.0000,92.0000
"GSC Game World",2985990.0000,75.0000
Guerrilla,2855100.0000,83.0000
"Guerrilla Nixxes Software",559710.0000,84.0000
"Gunfire Games",1348560.0000,73.5000
"Gunfire Reborn Studio",2628060.0000,86.0000
"Gunmetal Games Real Fake Games",5250.0000,87.0000
"Haemimont Games",182775.0000,74.5000
"Half Sword Games",606120.0000,71.0000
Hamuno,50160.0000,96.0000
"Hangar 13",547410.0000,64.0000
"Hannah and Joseph Games",14580.0000,86.0000
"Hazelight Studios",3510390.0000,93.0000
"HB Studios",88380.0000,71.0000
"Hello Games",9054960.0000,89.0000
"Highwire Games",377460.0000,55.0000
"Hinterland Studio Inc",3154710.0000,84.0000
"Hopoo Games",6993540.0000,92.0000
"Horizon Hobby LLC",24390.0000,86.0000
"HypeTrain Digital",239850.0000,69.0000
Hypnohead,227370.0000,87.0000
"Iceflake Studios Colossal Order",1775370.0000,68.0000
"id Software",768270.0000,89.0000
"ILCA Inc",71850.0000,61.0000
"Indoor Astronaut",406140.0000,95.0000
"Infinity Ward",773430.0000,92.5000
"Infinity Ward Beenox High Moon Studios Raven Software",706680.0000,81.0000
"Infinity Ward Raven Software Beenox Treyarch High Moon Studios Sledgehammer Games Activision Shanghai Demonware Toys for Bob",293190.0000,24.0000
"Infinity Ward Sledgehammer Games",448530.0000,93.0000
Innersloth,19124010.0000,93.0000
"Insomniac Games Nixxes Software",1512760.0000,92.0000
"Interactive Wave Studio",14100.0000,83.0000
"inZOI Studio",803820.0000,74.0000
"IO Interactive AS",1539930.0000,89.0000
"iRacingcom Motorsport Simulations iRacing",149190.0000,80.0000
"iRacingcom Motorsport Simulations LLC",41550.0000,68.0000
"Iron Gate AB",13432830.0000,86.0000
"Ironclad Games Corporation Stardock Entertainment",199800.0000,77.0000
"Ironhide Game Studio",260950.0000,90.0000
"IronOak Games",358230.0000,73.0000
"Irrational Games Virtual Programming Linux",3244620.0000,88.0000
"Isolated Games",447540.0000,91.0000
"Italic Pig",57630.0000,93.0000
itamu,8280.0000,94.0000
"Its happening",526290.0000,90.0000
"Ivy Sly",1028820.0000,96.0000
"Jackbox Games Inc",76632.0000,89.4000
"Jagex Ltd",660840.0000,84.0000
"James Bendon",719940.0000,90.0000
"Jelle Booij",239460.0000,97.0000
JJJ,3990.0000,90.0000
"Jordan Mochi Catchweight Studio",51750.0000,86.0000
jrsjams,520290.0000,80.0000
KAFI,233040.0000,87.0000
"KAIKO Big Huge Games 38 Studios",179970.0000,89.0000
"Keen Games GmbH",2594160.0000,80.0000
"Keen Software House",1578975.0000,77.5000
"Keepsake Games",256050.0000,79.0000
"Kenny Sun and Friends",642450.0000,93.0000
"KillHouse Games",346170.0000,96.0000
"Kinetic Games",19884120.0000,93.0000
"Klei Entertainment",7400205.0000,92.5000
"Koei Tecmo",500550.0000,93.0000
"KOEI TECMO GAMES CO LTD",292550.0000,82.3333
"KOJIMA PRODUCTIONS",1317000.0000,89.0000
KONAMI,356868.7500,81.0000
"KovaaK Games",1063380.0000,96.0000
"Kumi Souls Games",123540.0000,92.0000
"Kunos Simulazioni",1754200.0000,73.3333
Landfall,1801430.0000,93.6667
"Larian Studios",13593465.0000,93.0000
Lavapotion,351570.0000,74.0000
"LEVEL5 Inc",342720.0000,86.0000
"Light Brick Studio",43710.0000,92.0000
"Limbic Entertainment Realmforge Studios",577380.0000,88.0000
"Lionhead Studios",419760.0000,89.0000
"Lizard Smoothie",416670.0000,91.0000
LocalThunk,4507380.0000,96.0000
"LoFi Games",2777370.0000,95.0000
"Lovely Hellplace",133740.0000,85.0000
"Lucy B Locks",38940.0000,95.0000
"Ludeon Studios",5982750.0000,97.0000
"LuGus Studios",373470.0000,96.0000
"Lumino Games",4770.0000,80.0000
"Lunar Software",158430.0000,91.0000
MachineGames,354990.0000,92.0000
"Maddy Makes Games Inc Extremely OK Games Ltd",3699330.0000,97.0000
"MADFINGER Games as",1759020.0000,78.0000
"MaFi Games",288330.0000,72.0000
"Mainframe Industries",201060.0000,69.0000
"Maison Bap",154890.0000,85.0000
"Maru VR",29160.0000,76.0000
"Massive Entertainment  A Ubisoft Studio Ubisoft Montpellier Ubisoft Shanghai Ubisoft Toronto Ubisoft Dsseldorf Ubisoft Reflections",356520.0000,80.0000
"Massive Monster",3129120.0000,97.0000
"Max Inferno",458610.0000,93.0000
"Maxim Karpenko",1409730.0000,96.0000
Maxis,1150387.5000,83.7500
Mechanistry,1031670.0000,96.0000
"MediaVision Inc",423390.0000,87.0000
"Mega Crit",3475890.0000,96.0000
"Mehuman Games",34830.0000,74.0000
mestiez,8644050.0000,97.0000
"Microwave Games",26100.0000,84.0000
"Miju Games",1866480.0000,96.0000
"Mike Klubnika",3006570.0000,93.0000
"Mind Control Games",195870.0000,91.0000
MINTROCKET,3912180.0000,94.0000
"Mirage Creative Lab",467700.0000,84.0000
"Mistwalker Corporation",13590.0000,72.0000
"Mob Entertainment",1119900.0000,93.0000
"Mobius Digital",2461950.0000,94.0000
"moi rai games",60000.0000,93.0000
"Mojang Studios Double Eleven",434940.0000,84.0000
"Monolith Productions",2557500.0000,88.0000
"Monomi Park",2617170.0000,94.5000
"Moon Studios GmbH",1772100.0000,86.0000
"Motion Twin",4556670.0000,94.0000
Motive,1196205.0000,71.0000
Mystrigger,20070.0000,96.0000
"Naughty Dog LLC Iron Galaxy Studios",1782330.0000,95.0000
"Naughty Dog LLC Nixxes Software Iron Galaxy Studios",861360.0000,90.0000
"NC FirstSpark Games",324900.0000,56.0000
"NeoBards Entertainment Ltd",485760.0000,78.0000
"neoludic games",172470.0000,95.0000
Neople,576960.0000,90.0000
NEOWIZ,1613640.0000,88.0000
