steam_developer,avg_owners,avg_positive
"Ubisoft Quebec Ubisoft Montreal Ubisoft Bucharest Ubisoft Singapore Ubisoft Montpellier Ubisoft Kiev Ubisoft Shanghai",4977390.0000,86.0000
"Umami Tiger Matthias Linda",218400.0000,77.0000
"Unbroken Studios",80340.0000,65.0000
"Undead Labs",1693530.0000,83.0000
"United Front Games Feral Interactive Mac",1994790.0000,97.0000
"Unknown Worlds Entertainment",6031860.0000,92.5000
"V12 Studio",60870.0000,83.0000
"Valko Game Studios",406470.0000,70.0000
Valve,24441465.0000,91.2500
"Vawraek Technology Inc",289740.0000,70.0000
"VECTOR INTERACTIVE PTY LTD",111270.0000,88.0000
"Vector3 Studio",590160.0000,71.0000
vedinad,2787030.0000,90.0000
"Vermila Studios",86580.0000,87.0000
Videocult,1218420.0000,91.0000
"Visceral Games",533370.0000,74.5000
"Visual Concepts",202170.0000,61.5000
"VOID Interactive",7314300.0000,85.0000
"VRChat Inc",4440.0000,72.0000
WanadevStudio,151440.0000,94.0000
"Wargaming Group Limited",34640.0000,65.6667
"Warhorse Studios",3957780.0000,86.0000
WarpFrog,1725570.0000,94.0000
"weltenbauer Software Entwicklung GmbH",286860.0000,85.0000
"Were Five Games",46530.0000,56.0000
"Wild Shadow Studios Deca Live Operations GmbH",5820.0000,55.0000
"WIRED FEELINGS",16560.0000,69.0000
Wishfully,8490.0000,92.0000
"Wombat Brawler",200130.0000,94.0000
"Worlds Edge Forgotten Empires CaptureAge Tantalus Media Wicked Witch Feral Interactive",4584600.0000,93.0000
"Worlds Edge Forgotten Empires Tantalus Media CaptureAge Virtuos Games",573240.0000,87.0000
"Worlds Edge Relic Entertainment Forgotten Empires Climax Studios",2055570.0000,83.0000
"Worlds Edge Tantalus Media Forgotten Empires",1084050.0000,89.0000
"Wrong Organ",963540.0000,94.0000
"Wube Software LTD",5657010.0000,97.0000
"Yodubzz Studios",264300.0000,74.0000
"Yolo Games Studio",15150.0000,91.0000
Zachtronics,159120.0000,99.0000
ZAUM,3376020.0000,89.0000
Zeekerss,12168300.0000,93.0000
"ZeniMax Online Studios",3960030.0000,75.0000
"Zorro Wilnyl Philip thePetHen Skog",1981170.0000,91.0000
Zurvivor,623970.0000,92.0000
